รหัส,ชื่อสินค้า,หน่วยสินค้า
100101,รอแยล-ดี 15 กรัม,ซอง
100102,เกลือแร่ชนิดผง รอแยล-ดี 500 กรัม,แพ็ค
100201,โรซ่าร์ - ดี 20 กรัม,ซอง
100300,รอแยล-ดี 25 กรัม (RDTC 50),ซอง
100301,รอแยล-ดี 25 กรัม,ซอง
100301-1,รอแยล-ดี 25 กรัม ชนิด 50 ซอง (ลัง),ลัง
100302,รอแยล-ดี 25 กรัม (RDB),ซอง
100302-1,Royal - D Orange  50Sachets  x 25 g.,Sachets
100302-2,รอแยล-ดี 25 กรัม (RDB) - ใสสะอาด,ซอง
100303,รอแยล-ดี 25 กรัม (RDC),ซอง
100303-1,Royal - D Green  50Sachets x 25 g,Sachets
100303-2,รอแยล-ดี 25 กรัม (RDC) - ใสสะอาด,ซอง
100304,รอแยล-ดี 25 กรัม (ชนิด 5 ซอง),กล่อง
100305,ผงชงชิมรอแยล-ดี 500 กรัม (RDC ),แพ็ค
100306,ผงชงชิม รอแยล-ดี 500 กรัม (RDB),แพ็ค
100307,รอแยล-ดี กลิ่นผลไม้รวม 25 กรัม (RDT10),กล่อง
100307-1,ชุดสังฆภัณท์ (RDT 10),ชุด
100307-2,Royal - D Green 10 Sach/Box x 25g,Box
100307-3,รอแยล-ดี กลิ่นผลไม้รวม 25 กรัม (RDT10) - ใสสะอาด,กล่อง
100308,รอแยล-ดี 25 กรัม (ลัง)(RDT 10),ลัง
100309,รอแยล-ดี กลิ่นส้ม 25 กรัม (RDO 10),กล่อง
100309-1,รอแยล-ดี 25 กรัม RDO 10 (ซอง),ซอง
100309-2,รอแยล-ดี 25 กรัม (RDO 10),หีบ
100309-3,Royal - D Orange 10Sachets / Box x 25 g,Box
100309-4,ชุดสังฆภัณท์ (RDO 10),ชุด
100309-5,รอแยล-ดี กลิ่นส้ม 25 กรัม รุ่น 20 กล่อง (ลัง),ลัง
100309-6,รอแยล-ดี กลิ่นส้ม 25 กรัม (RDO 10) - ใสสะอาด,กล่อง
100310,รอแยล-ดี กลิ่นสตอรเบอร์รี่ 25 กรัม (RDS 50),ซอง
100310-1,Royal - D Strawberry 50Sachets x 25 g.,Sachets
100310-2,รอแยล-ดี กลิ่นสตอรเบอร์รี่ 25 กรัม (RDS 50) - ใสสะอาด,ซอง
100311,รอแยล-ดี กลิ่นองุ่น  25 กรัม (RDG 50),ซอง
100311-1,Royal - D Grape 50Sachets x 25 g.,Sachets
100311-2,รอแยล-ดี กลิ่นองุ่น  25 กรัม (RDG 50) - ใสสะอาด,ซอง
100312,รอแยล-ดี 25 กรัม (กล่อง)RDT50,กล่อง
100313,ผงชงชิมรอแยล-ดี กลิ่นสตรอเบอร์รี่ 500 กรัม,แพ็ค
100314,ผงชงชิมรอแยล-ดี กลิ่นองุ่น 500 กรัม,แพ็ค
100315,รอแยล-ดี 25 กรัม RDT10 (ซอง),ซอง
100317,รอแยล-ดี สปอร์ต 35 กรัม,ถุง
100317-1,รอแยล-ดี สปอร์ต 35 กรัม(ซอง),ซอง
100318,รอแยล-ดี กลิ่นสตอรเบอร์รี่ 25 กรัม (RDS 10),กล่อง
100318-1,Royal - D Strawberry 25 g x 10Sach/Box,Box
100318-2,รอแยล-ดี กลิ่นสตอรเบอร์รี่ 25 กรัม (RDS 10)(ซอง),ซอง
100318-3,รอแยล-ดี กลิ่นสตอรเบอร์รี่ 25 กรัม (RDS 10) - ใสสะอาด,กล่อง
100319,รอแยล-ดี กลิ่นองุ่น 25 กรัม (RDG10),กล่อง
100319-1,Royal - D Grape 25 g x 10Sach/Box,Box
100319-2,รอแยล-ดี กลิ่นองุ่น 25 กรัม (RDG10)(ซอง),ซอง
100319-3,รอแยล-ดี กลิ่นองุ่น 25 กรัม (RDG10) - ใสสะอาด,กล่อง
100320,เครื่องดื่มเกลือแร่ กลิ่นส้ม ชนิดผง (ตรา รอแยล-ดี),กล่อง
100320-1,เครื่องดื่มเกลือแร่ กลิ่นส้ม ชนิดผง (ตรา รอแยล-ดี)(หีบ)(RDX10),หีบ
100321,Tester รอแยล-ดี สปอร์ต 35 กรัม,ซอง
100321-1,รอแยล-ดี สปอร์ต 35 กรัม (ซอง),ซอง
100401,นีโอไลต์ 25 กรัม,ซอง
100401-1,Neolyte 1x25g RYD,Sachets
100401-2,นีโอไลต์ 25 กรัม - ใสสะอาด,ซอง
100402,นีโอไลต์ 25 กรัม (ชนิด 25 ซอง),ซอง
100403,นีโอไลต์ 25 กรัม (กล่อง),กล่อง
100404,นีโอไลต์ 25 กรัม ชนิด 25 ซอง (ลัง)(NL25),ลัง
100404-1,นีโอไลต์ 25 กรัม ชนิด 25 ซอง (กล่อง),กล่อง
100405,นีโอไลต์ 500 กรัม,แพ็ค
100601,กัมลัง-ดี (รสส้มแคลิฟอร์เนีย) 20 กรัม,ซอง
100602,กัมลัง-ดี (รสมะนาว) 20 กรัม,ซอง
200101,แคลซี่ - ดี 20 กรัม,กล่อง
200101-1,Calci - D  10Sachets / Box  Yellow 20 g.,Box
200101-2,แคลซี่ - ดี 20 กรัม - ใสสะอาด,กล่อง
200102,แคลซี่-ดี 20 กรัม (ตปท.),กล่อง
200103,Tester แคลซี่-ดี 20 กรัม,ซอง
200104,ผงชงชิม แคลซี่-ดี 500 กรัม,แพ็ค
